10.60078ms,71.885557ms
17.860709ms,117.0083ms
27.630262ms,161.104974ms
16.12573ms,238.382822ms
36.392882ms,195.124144ms
29.235491ms,164.155784ms
7.925323ms,90.189672ms
17.857527ms,112.140265ms
10.739637ms,147.782417ms
17.848226ms,134.187363ms
51.82351ms,222.721668ms
61.700512ms,248.270908ms
36.218074ms,179.334802ms
26.627784ms,150.534829ms
59.103506ms,339.18751ms
16.555674ms,182.324423ms
46.43209ms,177.886242ms
31.573186ms,179.695392ms
43.796583ms,168.815615ms
42.403126ms,192.322147ms
28.009554ms,180.072366ms
35.021276ms,232.306059ms
32.600387ms,218.785367ms
65.456484ms,235.527576ms
15.316057ms,228.266111ms
39.112124ms,263.955811ms
35.188482ms,269.94113ms
46.041477ms,235.206566ms
107.230705ms,264.593835ms
30.934727ms,195.025302ms
34.717965ms,82.771314ms
35.989709ms,172.786492ms
18.287266ms,110.171111ms
15.579368ms,136.686878ms
32.9412ms,121.30354ms
39.188527ms,142.597825ms
15.329996ms,118.350332ms
55.752505ms,134.413252ms
84.268028ms,174.234442ms
63.804666ms,237.937979ms
39.053164ms,68.891331ms
21.6145ms,94.233752ms
96.744933ms,233.314055ms
23.683266ms,157.393197ms
74.931326ms,368.390029ms
61.695898ms,445.417422ms
82.496371ms,382.158874ms
84.068422ms,417.961707ms
89.705804ms,413.250976ms
92.666701ms,341.927184ms
84.956983ms,289.203252ms
152.81617ms,368.147192ms
41.681892ms,258.144582ms
40.022844ms,179.439732ms
52.491102ms,233.548279ms
18.244022ms,85.650149ms
43.631448ms,179.408432ms
25.252623ms,255.694212ms
27.678591ms,191.935789ms
65.023259ms,171.131394ms
23.231365ms,353.782619ms
74.651735ms,242.302481ms
14.70272ms,309.662803ms
73.210735ms,240.383548ms
17.032126ms,157.190639ms
65.284036ms,157.470045ms
18.928375ms,81.673946ms
7.902697ms,97.152934ms
23.802096ms,79.438591ms
8.585915ms,110.826476ms
6.581166ms,166.881681ms
91.40279ms,240.98424ms
18.288958ms,192.248319ms
25.157131ms,140.440819ms
84.340714ms,306.190272ms
85.510842ms,375.684113ms
68.336312ms,241.026063ms
12.519771ms,72.936785ms
72.932284ms,175.283811ms
125.542405ms,326.674568ms
23.709916ms,152.71972ms
10.222522ms,99.020051ms
35.92938ms,205.298761ms
26.72538ms,178.772984ms
15.061827ms,150.651975ms
15.15963ms,128.774899ms
12.721276ms,186.655957ms
53.674567ms,270.757083ms
29.678845ms,357.332665ms
58.00276ms,135.32264ms
29.667745ms,171.709174ms
163.637656ms,324.152643ms
45.235782ms,370.907356ms
63.618384ms,263.331706ms
69.287691ms,252.97561ms
50.567703ms,324.388295ms
94.360757ms,199.015107ms
15.042279ms,117.533587ms
60.388325ms,325.164254ms
82.967145ms,507.901757ms
